code	name
A09	Oletatavalt nakkusliku päritoluga kõhulahtisus ja gastroenteriit; Peensoole- või soolekatarr; Teisiti täpsustamata, hemorraagiline või septiline+koliit; Teisiti täpsustamata, hemorraagiline või septiline+enteriit; Teisiti täpsustamata, hemorraagiline või septiline+gastroenteriit; Teisiti täpsustamata diarrhöa; Düsenteeriline diarrhöa; Epideemiline diarrhöa; Teisiti täpsustamata kõhulahtisusega nakkushaigus
A15	Bakterioloogiliselt ja histoloogiliselt kinnitatud hingamiselundite tuberkuloos
A15.0	Kopsutuberkuloos, kinnitatud röga mikroskoopilise uuringuga, mikroobikultuuri abil või ilma; Tuberkuloosne bronhoektaasia+kinnitatud röga mikroskoopiaga, (kultuuriga või ilma); Tuberkuloosne kopsufibroos+kinnitatud röga mikroskoopiaga, (kultuuriga või ilma); Tuberkuloosne pneumoonia+kinnitatud röga mikroskoopiaga, (kultuuriga või ilma); Tuberkuloosne pneumotooraks+kinnitatud röga mikroskoopiaga, (kultuuriga või ilma)
A15.1	Kopsutuberkuloos, kinnitatud ainult kultuuriga; A15.0 all antud seisundid, kinnitatud ainult kultuuriga
A15.2	Kopsutuberkuloos, histoloogiliselt kinnitatud; A15.0 all antud seisundid, histoloogiliselt kinnitatud
A15.3	Kopsutuberkuloos, täpsustamata meetodil kinnitatud; A15.0 all antud seisundid, kinnitatud, kuid täpsustamata, kas bakterioloogiliselt või histoloogiliselt
A15.4	Rindkeresiseste lümfisõlmede tuberkuloos, kinnitatud bakterioloogiliselt ja histoloogiliselt; Bronhopulmonaal-+lümfisõlmede tuberkuloos, kinnitatud bakterioloogiliselt ja histoloogiliselt; Mediastiinumi-+lümfisõlmede tuberkuloos, kinnitatud bakterioloogiliselt ja histoloogiliselt; Trahheobronhiaal-+lümfisõlmede tuberkuloos, kinnitatud bakterioloogiliselt ja histoloogiliselt
A15.5	Kõri-, trahhea- ja bronhituberkuloos, bakterioloogiliselt ja histoloogiliselt kinnitatud; Bronhi-+tuberkuloos, bakterioloogiliselt ja histoloogiliselt kinnitatud; Häälekõri-+tuberkuloos, bakterioloogiliselt ja histoloogiliselt kinnitatud; Kõri-+tuberkuloos, bakterioloogiliselt ja histoloogiliselt kinnitatud; Trahhea-+tuberkuloos, bakterioloogiliselt ja histoloogiliselt kinnitatud
A15.6	Tuberkuloosne pleuriit, bakterioloogiliselt ja histoloogiliselt kinnitatud; Bakterioloogiliselt ja histoloogiliselt kinnitatud+pleuratuberkuloos; Bakterioloogiliselt ja histoloogiliselt kinnitatud+pleuraempüeem
A15.7	Hingamiselundite esmane tuberkuloos, bakterioloogiliselt ja histoloogiliselt kinnitatud
A15.8	Muu hingamiselundite tuberkuloos, bakterioloogiliselt ja histoloogiliselt kinnitatud; Mediastiinumi-+tuberkuloos, bakterioloogiliselt ja histoloogiliselt kinnitatud; Nasofarüngeaal-+tuberkuloos, bakterioloogiliselt ja histoloogiliselt kinnitatud; Nina-+tuberkuloos, bakterioloogiliselt ja histoloogiliselt kinnitatud; Ninakõrvalurke-+tuberkuloos, bakterioloogiliselt ja histoloogiliselt kinnitatud
A15.9	Hingamiselundite täpsustamata tuberkuloos, kinnitatud bakterioloogiliselt ja histoloogiliselt
A15-A19	Tuberkuloos
A16	Bakterioloogiliselt või histoloogiliselt kinnitamata hingamiselundite tuberkuloos
A16.0	Kopsutuberkuloos, bakterioloogiliselt ja histoloogiliselt negatiivne; Tuberkuloosne bronhoektaasia+bakterioloogiliselt ja histoloogiliselt negatiivne; Tuberkuloosne kopsufibroos+bakterioloogiliselt ja histoloogiliselt negatiivne; Tuberkuloosne pneumoonia+bakterioloogiliselt ja histoloogiliselt negatiivne; Tuberkuloosne pneumotooraks+bakterioloogiliselt ja histoloogiliselt negatiivne
A16.1	Kopsutuberkuloos, bakterioloogiline ja histoloogiline uuring tegemata; A16.0 all antud seisundid, bakterioloogiline ja histoloogiline uuring tegemata
A16.2	Kopsutuberkuloos, bakterioloogiline või histoloogiline kinnitus mainimata; Teisiti täpsustamata (bakterioloogiline või histoloogiline kinnitus mainimata)+kopsutuberkuloos; Teisiti täpsustamata (bakterioloogiline või histoloogiline kinnitus mainimata)+tuberkuloosne bronhoektaasia; Teisiti täpsustamata (bakterioloogiline või histoloogiline kinnitus mainimata)+tuberkuloosne kopsufibroos; Teisiti täpsustamata (bakterioloogiline või histoloogiline kinnitus mainimata)+tuberkuloosne pneumoonia; Teisiti täpsustamata (bakterioloogiline või histoloogiline kinnitus mainimata)+tuberkuloosne pneumotooraks
A16.3	Rindkeresiseste lümfisõlmede tuberkuloos, bakterioloogiline või histoloogiline kinnitus mainimata; Bronhopulmonaal-+lümfisõlmede teisiti täpsustamata tuberkuloos, (bakterioloogiline või histoloogiline kinnitus mainimata); Mediastiinumi-+lümfisõlmede teisiti täpsustamata tuberkuloos, (bakterioloogiline või histoloogiline kinnitus mainimata); Trahheobronhiaal-+lümfisõlmede teisiti täpsustamata tuberkuloos, (bakterioloogiline või histoloogiline kinnitus mainimata); Intratorakaal-+lümfisõlmede teisiti täpsustamata tuberkuloos, (bakterioloogiline või histoloogiline kinnitus mainimata)
A16.4	Kõri-, trahhea- ja bronhituberkuloos, bakterioloogiline või histoloogiline kinnitus mainimata; Teisiti täpsustamata (bakterioloogiline või histoloogiline kinnitus mainimata)+bronhituberkuloos; Teisiti täpsustamata (bakterioloogiline või histoloogiline kinnitus mainimata)+häälekõrituberkuloos; Teisiti täpsustamata (bakterioloogiline või histoloogiline kinnitus mainimata)+kõrituberkuloos; Teisiti täpsustamata (bakterioloogiline või histoloogiline kinnitus mainimata)+trahheatuberkuloos
A16.5	Tuberkuloosne pleuriit, bakterioloogiline või histoloogiline kinnitus mainimata; Teisiti täpsustamata (bakterioloogiline või histoloogiline kinnitus mainimata)+pleuratuberkuloos; Teisiti täpsustamata (bakterioloogiline või histoloogiline kinnitus mainimata)+tuberkuloosne empüeem; Teisiti täpsustamata (bakterioloogiline või histoloogiline kinnitus mainimata)+tuberkuloosne pleuriit
A16.7	Hingamiselundite esmane tuberkuloos, bakterioloogiline või histoloogiline kinnitus mainimata; Teisiti täpsustamata hingamiselundite esmane tuberkuloos; Esmane tuberkuloosikompleks
A16.8	Muu hingamiselundite tuberkuloos, bakterioloogiline või histoloogiline kinnitus mainimata; Teisiti täpsustamata (bakterioloogiline ja histoloogiline kinnitus mainimata)+mediastiinumituberkuloos; Teisiti täpsustamata (bakterioloogiline ja histoloogiline kinnitus mainimata)+nasofarüngeaaltuberkuloos; Teisiti täpsustamata (bakterioloogiline ja histoloogiline kinnitus mainimata)+ninatuberkuloos; Teisiti täpsustamata (bakterioloogiline ja histoloogiline kinnitus mainimata)+ninakõrvalurketuberkuloos
A16.9	Hingamiselundite täpsustamata tuberkuloos, bakterioloogiline või histoloogiline kinnitus mainimata; Teisiti täpsustamata hingamiselundite tuberkuloos; Teisiti täpsustamata tuberkuloos
A17	Närvisüsteemi tuberkuloos
A17.0	Tuberkuloosne meningiit; (Peaaju-; seljaaju-)kestade tuberkuloos; Tuberkuloosne leptomeningiit
A17.1	Meningeaaltuberkuloom; Ajukestade tuberkuloom
A17.8	Närvisüsteemi muu tuberkuloos; Peaaju tuberkuloom; Peaaju tuberkuloos; Seljaaju tuberkuloom; Seljaaju tuberkuloos; Peaaju tuberkuloosne abstsess; Tuberkuloosne meningoentsefaliit; Tuberkuloosne müeliit; Tuberkuloosne polüneuropaatia
A17.9	Närvisüsteemi täpsustamata tuberkuloos
A18	Muude elundite tuberkuloos
A18.0	Luude ja liigeste tuberkuloos; Puusatuberkuloos; Põlvetuberkuloos; Lülisambatuberkuloos; Tuberkuloosne artriit e liigesepõletik; Tuberkuloosne mastoidiit e nibujätkepõletik; Tuberkuloosne osteonekroos e luukärbus; Tuberkuloosne osteiit e luupõletik; Tuberkuloosne osteomüeliit e luuüdipõletik; Tuberkuloosne sünoviit e sünoviaalkestapõletik; Tuberkuloosne tenosünoviit e kõõluse-sünoviaalkestapõletik
A18.1	Kuse-suguelundite tuberkuloos; Kusepõietuberkuloos; Emakakaelatuberkuloos; Neerutuberkuloos; Meessuguelundite tuberkuloos; Ureeterituberkuloos; Naise vaagnaelundite tuberkuloosne põletik
A18.2	Perifeerne tuberkuloosne lümfadenopaatia; Tuberkuloosne adeniit
A18.3	Soolte, peritoneumi ja mesenteriaalsõlmede tuberkuloos; Päraku ja pärasoole tuberkuloos; (Jäme-; peen-)soole tuberkuloos; Retroperitoneaalsete lümfisõlmede tuberkuloos; Tuberkuloosne astsiit; Tuberkuloosne enteriit; Tuberkuloosne peritoniit
A18.4	Naha ja nahaaluskoe tuberkuloos; Naha tuberkuloosne induratiiverüteem; Eksedentluupus; Teisiti täpsustamata lihtluupus; Silmalau lihtluupus; Skrofuloderma
A18.5	Silmatuberkuloos; Tuberkuloosne episkleriit; Tuberkuloosne interstitsiaalkeratiit; Tuberkuloosne iridotsükliit; Tuberkuloosne keratokonjunktiviit (interstitsiaalne; flüktenuloosne); Tuberkuloosne korioretiniit
A18.6	Kõrvatuberkuloos; Tuberkuloosne keskkõrvapõletik
A18.7	Neerupealisetuberkuloos; Tuberkuloosne Addisoni tõbi
A18.8	Muude täpsustatud elundite tuberkuloos; Endokardituberkuloos; Kilpnäärmetuberkuloos; Müokardituberkuloos; Perikardituberkuloos; Söögitorutuberkuloos; Tuberkuloosne peaajuarteriit
A19	Miliaartuberkuloos
A19.0	Täpsustatud üksikpaikme äge miliaartuberkuloos
A19.1	Hulgipaikmeline äge miliaartuberkuloos
A19.2	Täpsustamata äge miliaartuberkuloos
A19.8	Muu miliaartuberkuloos
A19.9	Täpsustamata miliaartuberkuloos
A20	Katk
A20.0	Buboonkatk
A20.1	Nahakatk
A20.2	Kopsukatk
A20.3	Katkumeningiit
A20.7	Katkuseptitseemia
A20.8	Muud katkuvormid; Abortiivkatk; Asümptomaatiline katk; Väike katk
A20.9	Täpsustamata katk
A20-A28	Kindlad (teatavad) bakterzoonoosid
A21	Tulareemia
A21.0	Ultseroglandulaarne tulareemia
A21.1	Okuloglandulaarne tulareemia; Silmatulareemia [Oftalmtulareemia]
A21.2	Kopsutulareemia
A21.3	Gastrointestinaalne tulareemia; Kõhutulareemia [Abdominaaltulareemia]
A21.7	Generaliseerunud tulareemia
A21.8	Tulareemia muud vormid
A21.9	Täpsustamata tulareemia
A22	Põrnatõbi [antraks e Siberi katk]
A22.0	Nahapõrnatõbi; Pahaloomuline karbunkul; Pahaloomuline pustul
A22.1	Kopsupõrnatõbi [Pulmonaalantraks]; Inhalatsioonpõrnatõbi; Kaltsukorjajahaigus; Villasorteerijahaigus
A22.2	Gastrointestinaal-põrnatõbi
A22.7	Põrnatõveseptitseemia
A22.8	Põrnatõve muud vormid; Põrnatõvemeningiit
A22.9	Täpsustamata põrnatõbi
A23	Brutselloos
A23.0	Brucella melitensis'e brutselloos
A23.1	Brucella abortus'e brutselloos
A23.2	Brucella suis'e brutselloos
A23.3	Brucella canis'e brutselloos
A23.8	Muu brutselloos
A23.9	Täpsustamata brutselloos
A24	Malleus ja melioidoos
A24.0	Malleus; Pseudomonas mallei nakkus
A24.1	Äge ja välkkiire e fulminantne melioidoos; Melioidoospneumoonia; Melioidoosseptitseemia
A24.2	Alaäge ja krooniline melioidoos
A24.3	Muu melioidoos
A24.4	Täpsustamata melioidoos; Teisiti täpsustamata Pseudomonas pseudomallei nakkus; Whitmore'i tõbi
A25	Rotihammustuspalavikud
A25.0	Spirilloos; Sodoku
A25.1	Streptobatsilloos; Epideemiline artriiterüteem; Haverhilli palavik; Streptobatsillaarne rotihammustuspalavik
A25.9	Täpsustamata rotihammustuspalavik
A26	Erüsipeloid
A26.0	Nahaerüsipeloid; Ränderüteem
A26.7	Erysipelothrix'i septitseemia
A26.8	Erüsipeloidi muud vormid
A26.9	Täpsustamata erüsipeloid
A27	Leptospiroos
A27.0	Ikterohemorraagiline leptospiroos; Leptospira interrogans serovar icterohaemorrhagiae leptospiroos
A27.8	Leptospiroosi muud vormid
A27.9	Täpsustamata leptospiroos
A28	Muud mujal klassifitseerimata bakterzoonoosid
A28.0	Pasteurelloos
A28.1	Kassikriimustustõbi; Kassikriimustuspalavik
A28.2	Sooleväline jersinioos
A28.8	Mujal klassifitseerimata muud täpsustatud bakterzoonoosid
A28.9	Täpsustamata bakterzoonoos
A30	Leepra e pidalitõbi [Hanseni tõbi]
A30.0	Atüüpiline leepra {(Indeterminate) leprosy}
A30.1	Tuberkuloidne leepra {TT leprosy}
A30.2	Tuberkuloidne piirleepra {BT leprosy}
A30.3	Piirleepra {BB leprosy}
A30.4	Lepromatoosne piirleepra
A30.5	Lepromatoosne leepra
A30.8	Muud leepravormid
A30.9	Täpsustamata leepra
A30-A49	Muud bakterhaigused
A31	Muud mükobakternakkused [mükobakterioosid]
A31.0	Kopsu mükobakternakkus; Mycobacterium avium-nakkus; Mycobacterium intracellulare-[Battey batsilli-] nakkus; Mycobacterium kansasii-nakkus
A31.1	Naha mükobakternakkus; Buruli haavand; Mycobacterium marinum'i nakkus; Mycobacterium ulcerans'i nakkus
A31.8	Muud mükobakternakkused
A31.9	Täpsustamata mükobakternakkus; Teisiti täpsustamata atüüpiline mükobakternakkus; Teisiti täpsustamata mükobakterioos
A32	Listerioos
A32.0	Nahalisterioos
A32.1	Listeeriameningiit ja –meningoentsefaliit; Listeeriameningiit; Listeeriameningoentsefaliit
A32.7	Listeeriaseptitseemia
A32.8	Listerioosi muud vormid; Listeeria-peaajuarteriit; Listeeria-endokardiit; Okuloglandulaarne listerioos
A32.9	Täpsustamata listerioos
A33	Vastsündinu teetanus e kangestuskramptõbi
A34	Sünnitusabiteetanus
A35	Muud teetanused; Teisiti täpsustamata teetanus
A36	Difteeria e kurgutõbi
A36.0	Neeludifteeria; Difteriit[ili]ne membranoosangiin; Tonsillaarne difteeria e mandlidifteeria
A36.1	Ninaneeludifteeria
A36.2	Kõridifteeria e larüngeaaldifteeria; Difteriit[ili]ne larüngotrahheiit
A36.3	Nahadifteeria
A36.8	Muu difteeria; Difteriit[ili]ne konjunktiviit; Difteriit[ili]ne müokardiit; Difteriit[ili]ne polüneuriit
A36.9	Täpsustamata difteeria
A37	Läkaköha
A37.0	Bordetella pertussis'e läkaköha
A37.1	Bordetella parapertussis'e läkaköha
A37.8	Muude bordetellaliikide läkaköha
A37.9	Täpsustamata läkaköha
A38	Sarlakid
A39	Meningokokkinfektsioon e –nakkus
A39.0	Meningokokkmeningiit
A39.1	Waterhouse'i-Friderichseni sündroom; Hemorraagiline meningokokkadrenaliit; Meningokokk-adrenaalsündroom
A39.2	Äge meningokoktseemia
A39.3	Krooniline meningokoktseemia
A39.4	Täpsustamata meningokoktseemia; Teisiti täpsustamata meningokokkbakterieemia
A39.5	Meningokokksüdamehaigus; Meningokokk-kardiit teisiti täpsustamata; Meningokokk endokardiit; Meningokokk müokardiit; Meningokokk perikardiit
A39.8	Muud meningokokknakkused; Meningokokk artriit; Meningokokk-konjunktiviit; Meningokokk entsefaliit; Retrobulbaarne meningokokkneuriit; Meningokokknakkuse järgne artriit
A39.9	Täpsustamata meningokokknakkus; Teisiti täpsustamata meningokokkhaigus
A40	Streptokokkseptitseemia
A40.0	A-rühma streptokokkseptitseemia
A40.1	B-rühma streptokokkseptitseemia
A40.2	D-rühma streptokokkseptitseemia
A40.3	Streptococcus pneumoniae tekkene septitseemia; Pneumokokkseptitseemia
A40.8	Muu steptokokkseptitseemia
A40.9	Täpsustamata streptokokkseptitseemia
A41	Muu septitseemia
A41.0	Staphylococcus aureus'e tekkene septitseemia
A41.1	Muu täpsustatud stafülokokkseptitseemia; Koagulaasnegatiivne stafülokokkseptitseemia
A41.2	Täpsustamata stafülokokkseptitseemia
A41.3	Haemophilus influenzae septitseemia
A41.4	Anaeroobitekkene septitseemia
A41.5	Muude gramnegatiivsete organismide tekkene septitseemia; Teisiti täpsustamata gramnegatiivne septitseemia
A41.8	Muu täpsustatud septitseemia
A41.9	Täpsustamata septitseemia; Septiline šokk
A42	Aktinomükoos
A42.0	Kopsuaktinomükoos
A42.1	Kõhuõõneaktinomükoos
A42.2	Kaela- ja näoaktinomükoos
A42.7	Aktinomüütses-septitseemia
A42.8	Aktinomükoosi muud vormid
A42.9	Täpsustamata aktinomükoos
A43	Nokardioos
A43.0	Kopsunokardioos
A43.1	Nahanokardioos
A43.8	Nokardioosi muud vormid
A43.9	Täpsustamata nokardioos
A44	Bartonelloos
A44.0	Süsteemne bartonelloos; Oroya palavik
A44.1	Naha- ja mukokutaanbartonelloos; Peruu tüügas e verruuga
A44.8	Bartonelloosi muud vormid
A44.9	Täpsustamata bartonelloos
A46	Erüsiipel e roos
A48	Mujal klassifitseerimata muud bakterhaigused
A48.0	Gaasgangreen; Klostriidiatselluliit; Klostriidiamüonekroos
A48.1	Leegionärihaigus
A48.2	Mittepneumooniline leegionärihaigus [Pontiaci palavik]
A48.3	Toksilise šoki sündroom
A48.4	Brasiilia purpurpalavik; Süsteemne Haemophilus aegyptius'e nakkus
A48.8	Muud täpsustatud bakterhaigused
A49	Täpsustamata paikme bakternakkus
A49.0	Täpsustamata stafülokokknakkus
A49.1	Täpsustamata streptokokknakkus
A49.2	Täpsustamata Haemophilus influenzae nakkus
A49.3	Täpsustamata mükoplasmanakkus
A49.8	Täpsustamata paikme muud bakternakkused
A49.9	Täpsustamata bakternakkus; Teisiti täpsustamata bakterieemia e bakterveresus
A50	Kaasasündinud süüfilis
A50.0	Varane sümptomitega kaasasündinud süüfilis; Mistahes varasena täpsustatud või enne kaht aastat pärast sündi ilmnenud kaasasündinud süfiliitiline seisund; Varane kaasasündinud+nahasüüfilis; Varane kaasasündinud+naha- ja limaskestade süüfilis; Varane kaasasündinud+siseelundite süüfilis; Varane kaasasündinud süfiliitiline+larüngiit; Varane kaasasündinud süfiliitiline+okulopaatia; Varane kaasasündinud süfiliitiline+osteokondropaatia; Varane kaasasündinud süfiliitiline+farüngiit; Varane kaasasündinud süfiliitiline+pneumoonia; Varane kaasasündinud süfiliitiline+riniit
A50.1	Varane kaasasündinud latentne e peitsüüfilis; Kliiniliste ilminguteta kaasasündinud süüfilis, positiivse serologilise reaktsiooni ja negatiivse seljaajuvedeliku testiga enne kaht aastat pärast sündi
A50.2	Varane kaasasündinud täpsustamata süüfilis; Teisiti täpsustamata kaasasündinud süüfilis enne kaht aastat pärast sündi
A50.3	Kaasasündinud hiline süfiliitiline okulopaatia; Kaasasündinud hiline süfiliitiline interstitsiaalne keratiit; Kaasasündinud hiline süfiliitiline mujal klassifitseerimata okulopaatia
A50.4	Kaasasündinud hiline neurosüüfilis [juveniilne neurosüüfilis]; Juveniilne paralüütiline dementsus; Juveniilne üldparees; Juveniilne seljaajukuive; Juveniilne tabopareetiline neurosüüfilis; Kaasasündinud hiline süfiliitiline entsefaliit; Kaasasündinud hiline süfiliitiline meningiit; Kaasasündinud hiline süfiliitiline polüneuropaatia
A50.5	Muu kaasasündinud hiline sümptomitega süüfilis; Mistahes hilisena täpsustatud või kaks või rohkem aastat pärast sündi avaldunud kaasasündinud süfiliitiline seisund; Cluttoni liigesed; Hutchinsoni hambad; Hutchinsoni triaad; Kaasasündinud hiline kardiovaskulaarne süüfilis; Kaasasündinud hiline süfiliitiline artropaatia; Kaasasündinud hiline süfiliitiline osteokondropaatia; Süfiliitiline sadulnina
A50.6	Kaasasündinud hiline latentne süüfilis; Kliiniliste ilminguteta kaasasündinud süüfilis positiivse seroloogilise reaktsiooni ja negatiivse seljaajuvedeliku testiga kaks aastat või enam pärast sündi
A50.7	Kaasasündinud hiline täpsustamata süüfilis; Teisiti täpsustamata kaasasündinud süüfilis kaks aastat või enam pärast sündi
A50.9	Kaasasündinud täpsustamata süüfilis
A50-A64	Peamiselt suguliselt levivad nakkushaigused
A51	Varane süüfilis
A51.0	Primaarne genitaalsüüfilis; Teisiti täpsustamata süfiliitiline šanker
A51.1	Primaarne anaalsüüfilis
A51.2	Muude paikmete primaarne süüfilis
A51.3	Naha ja limaskestade sekundaarne süüfilis; Lai kondüloom; Süfiliitiline alopeetsia; Süfiliitiline leukoderma; Süfiliitiline limaskestanaast
A51.4	Muu sekundaarne süüfilis; Sekundaarne süfiliitiline+naisevaagna põletikuline haigus; Sekundaarne süfiliitiline+iridotsükliit; Sekundaarne süfiliitiline+lümfadenopaatia; Sekundaarne süfiliitiline+meningiit; Sekundaarne süfiliitiline+müosiit; Sekundaarne süfiliitiline+mujal klassifitseerimata okulopaatia; Sekundaarne süfiliitiline+periostiit
A51.5	Varane peitsüüfilis; Kliiniliste ilminguteta (omandatud) süüfilis positiivse seroloogilise reaktsiooni ja negatiivse seljaajuvedeliku testiga, enne kaht aastat pärast nakkust
A51.9	Varane täpsustamata süüfilis
A52	Hiline süüfilis
A52.0	Kardiovaskulaarne süüfilis; Teisiti täpsustamata kardiovaskulaarne süüfilis; Süfiliitiline aordianeurüsm; Süfiliitiline aordiklapi puudulikkus; Süfiliitiline aortiit; Süfiliitiline peaajuarteriit; Süfiliitiline teisiti täpsustamata endokardiit; Süfiliitiline müokardiit; Süfiliitiline perikardiit; Süfiliitiline kopsuarteriklapi tagasivool
A52.1	Sümptomitega neurosüüfilis; Charcot' artropaatia; Hiline süfiliitiline kuulmenärvineuriit; Hiline süfiliitiline entsefaliit; Hiline süfiliitiline meningiit; Hiline süfiliitiline nägemisnärviatroofia; Hiline süfiliitiline polüneuropaatia; Hiline süfiliitiline retrobulbaarne neuriit; Süfiliitiline parkinsonism; Seljaajukuive e dorsaaltaabes
A52.2	Sümptomiteta neurosüüfilis
A52.3	Täpsustamata neurosüüfilis; Teisiti täpsustamata kesknärvisüsteemi+(süfiliitiline) gumma; Teisiti täpsustamata kesknärvisüsteemi+(hiline) süüfilis; Teisiti täpsustamata kesknärvisüsteemi+süfiloom
A52.7	Muu sümptomitega hiline süüfilis; Päsmakestehaigus süüfilise korral; Mistahes paikme v.a A52.0-A52.3 all nimetatute (süfiliitiline) gumma; Mistahes paikme v.a A52.0-A52.3 all nimetatute hiline või tertsiaarne süüfilis; Hilise süüfilise korral esinev+bursiit; Hilise süüfilise korral esinev+korioretiniit; Hilise süüfilise korral esinev+episkleriit; Hilise süüfilise korral esinev+naisevaagna põletikuline haigus; Hilise süüfilise korral esinev+leukoderma; Hilise süüfilise korral esinev+mujal klassifitseerimata okulopaatia; Hilise süüfilise korral esinev+peritoniit; [Täpsustamata staadiumi]+luusüüfilis; [Täpsustamata staadiumi]+maksasüüfilis; [Täpsustamata staadiumi]+kopsusüüfilis; [Täpsustamata staadiumi]+lihasesüüfilis; [Täpsustamata staadiumi]+sünoviaalkestasüüfilis
A52.8	Hiline peitsüüfilis; Kliiniliste ilminguteta (omandatud) süüfilis positiivse seroloogilise reaktsiooni ja negatiivse seljaajuvedeliku testiga, kaks aastat või rohkem pärast nakkust
A52.9	Täpsustamata hiline süüfilis
A53	Muu ja täpsustamata süüfilis
A53.0	Peitsüüfilis, täpsustamata, kas varane või hiline; Teisiti täpsustamata peitsüüfilis; Süüfilisele positiivne seroloogiline reaktsioon
A53.9	Täpsustamata süüfilis; Teisiti täpsustamata Treponema pallidum nakkus; Teisiti täpsustamata (omandatud) süüfilis
A54	Gonokokknakkus
A54.0	Alumiste kuse-suguteede gonokokknakkus periuretraalsete või lisanäärmete abstsessita; Teisiti täpsustamata gonokokktservitsiit; Teisiti täpsustamata gonokokktsüstiit; Teisiti täpsustamata gonokokkuretriit; Teisiti täpsustamata gonokokkvulvovaginiit
A54.1	Alumiste kuse-suguteede gonokokknakkus periuretraalsete või lisanäärmete abstsessiga; Bartolini näärme gonokokkabstsess
